rank,address,balance_satoshi,balance_btc
140,1P5CMhCfXrVeAqoPrwRZ6q4pWJ7zaVUMJz,552516810,5.5251681
141,1MV9ScRqeu75Un1Sr3sZ8R7oSM31XVsKo5,542564624,5.42564624
142,1LteRU5x7vE4RvP2MqoDaDfQZxmByUebn1,293777734,2.93777734
143,17Ba9dJdRLkAfmZKgHaCwnwAmgLMTLvnAE,277967758,2.77967758
144,1DbvzqXPhiZNXjQiiRxvp33pnmqGjyy2yo,205000001,2.05000001
145,1FqEh5cGu7xW4iTsMA5r8d63KSvNVfmZiv,183617523,1.83617523
146,1F5qvzDA1esnc2aoSDR431ruia9YfRHTwR,179161693,1.79161693
147,16Le1fruYukHoeTPLuaaJLTAB2dwmVw9pg,177680803,1.77680803
148,1Bc5FLFqUVhvzTtwsTSwcVNmdxHyhdbcH6,172024030,1.7202403
149,1LccVnKuSmAPcT78Gubs7XVHhkeq6bbiTn,160492460,1.6049246
150,1MRw9tg72Vh8EitdSmSxfZXbRtwRnuur8,147254435,1.47254435
151,1ArycueEePARCjnVdA3pk4rXJB5XBPEg5X,139356925,1.39356925
152,16mvGPp78Np7vsCPjiWeHSDJzMMY8wohp7,137710585,1.37710585
153,1HCSeBG1MdhPm1MQRXH1WySTkYrEvKSnZd,116518686,1.16518686
154,1L9hbRcnPRiZCVrHJawCTW4kiVYUcN1LU7,116247828,1.16247828
155,1FLUGDqvviW4jWTsQfQ6rZt41RNvNMKWmc,115502405,1.15502405
156,1MCG8dJRZpPPZ2Po7jxXLYZnDUSBZKryx3,100157905,1.00157905
157,1KA8Yd5ASios8iM5bCob248gV3X2qRUEyk,98329844,0.98329844
158,1T6k7HwyP1bwvAXeej6C3b3brnKbynJxy,97111054,0.97111054
159,15DteJ9ohG1en82Vhf2u4LBSQUemWBpoBw,80391898,0.80391898
160,1GMHFY7zJU2UnmfgHpJYA1pbnHxyePb7f3,78450088,0.78450088
161,12KnQebtoCVfpu5AR1arW8ZtoNp8RFmrLR,77622850,0.7762285
162,12cek7EnzHeFRwdeXxpKCYJRiYsXi7NzqH,76553276,0.76553276
163,113aNq2MZDE2HFKsUe7uXLNrfnF5iSHQug,72440347,0.72440347
164,12jcDRKJidEiLZKQ9k2HcwwDfTYNJE8unv,71759600,0.717596
165,1DJRRU1ZDywkcH2JLSHouVTrMUUame4jmB,60855098,0.60855098
166,1LiZ2DwErJpAQoHVHhZYkxSUgpoAGn7vkd,47995380,0.4799538
167,122Y4ZA5ZHaExzrcrtmEaGKN9nb927Z4Lm,40230941,0.40230941
168,1848h4ZDtGribsVgwCNVMv9RK6AjRfjxMM,38763533,0.38763533
169,1NxF7jssRjcyJTuqkURqyU6fwUf5XePNEP,36457862,0.36457862
170,13px8Txjq6Nt5t1zSJDzKqpnoGnJberQE9,28194277,0.28194277
171,191B9XHqJvYskdnSY8JJA4WqtD2UocRC63,26514867,0.26514867
172,1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR,23385576,0.23385576
173,12qhJC64mQhw6PuoksGTwYoznon9oEnG8D,23124180,0.2312418
174,18aF3tyVN6Bd4WZsdqpGbMSr8JdvXBVes5,21941105,0.21941105
175,1BqrpitdXxVFr35KEFh3eGEN1Um6H3GrtJ,20889956,0.20889956
176,1oLDbREww1bBjYr6bYYsWPYt5aGfU9s9N,17952286,0.17952286
177,13RnqhmFWfMCPE6K5ho7EqXHFskB7sQfhz,17348532,0.17348532
178,3Mn1wEMqyRKgztQVuxJBNBchW1DhbzmQh1,15387131,0.15387131
179,1FpqQnKQCgDkJFMC94JL8FpRyHTZ3uRVZ1,10936468,0.10936468
180,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,9148088,0.09148088
181,1Ku3kU8wrT2ZeM1GLx7aZYZcADYDeVuoA5,8073843,0.08073843
182,1JECiNLRQT4uSzXV35js2o596W7nqPF7oM,7405546,0.07405546
183,18aH7X4SQ3LKxmAbMZqDWjuQSVykTkTsV9,7242819,0.07242819
184,197H1tEeKYFM7eYjMvtwjQAWBgMR2FBqTc,2767932,0.02767932
185,159QgP4Ewvadjc4HDpaaR6pir2R4ZfzVfQ,2202750,0.0220275
186,1299FyEzJoPZbaKJUnpAVKNzwKPMUADAzu,1951000,0.01951
187,1BPpZwR9bRexQC3NVxPbfvEqxzzNznh86y,1349977,0.01349977
188,1Fx3N5iFPDQxUKhhmDJqCMmi3U8Y7gSncx,1000000,0.01
189,19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,994463,0.00994463
190,1KwiztHT2ZkL9DLRYqK5Jpk9mPqGmMbKeB,383206,0.00383206
191,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,276325,0.00276325
192,1GD8Qh7ebmvdaB8Ampcq8qZqNPr78nzjSP,191338,0.00191338
193,3MVGXbkwBFUJBY5MfeFnU7JonAhQXSZHuz,189510,0.0018951
194,19a14GZW22rqri82pcCD84BmPQP2BC7Dh9,164500,0.001645
195,13uraL1Maba7obbhkdB4pjsqMyvqrcTeeD,160568,0.00160568
196,19QDGMRKdZ9BpDZP2Re6yaDqNQ7zN4wo1D,151000,0.00151
197,1Pa9Tytkq6aj7APgedvqYDgfLKY9qBxMPn,151000,0.00151
198,1kmGdkFoLatLh92EBBLkVPNT4sKbc3ryq,147690,0.0014769
199,1Ea7HC4vLpUEtpZppYqjMekYVPSpDgdZ7,144500,0.001445
200,1M4pLzLhN4ix44jaoJpjiTYV58oRgUf675,141000,0.00141
201,16hL9BVUgjATSHPU72MpD4E38JhqxDuFnn,134500,0.001345
202,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,120407,0.00120407
203,1NPjX9tLgP5fdrhyzAjgPro8CvSSRpk57C,120000,0.0012
204,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,118280,0.0011828
205,1JtpgqCf3SSeCeYWEDJjkfYFH7Ruhy4Vp1,111486,0.00111486
206,1DgzSGFprGG4CcxdZPHeidSG7TKbgrATYx,111002,0.00111002
207,145YHsQU7HMzkRnD5SBSuFAzQgCYnAnLkN,110301,0.00110301
208,1FSGpYLfoRBQjjdqLJoMyiA4nCVHfLokQd,100001,0.00100001
209,1LAbQ5492wSLxRc2jiFgi2ZgoqRgUG8gHa,100000,0.001
210,1Le6MkiTvkorvC1JwYXzQUSfqA3ebzGW7N,93950,0.0009395
211,13nAJw8jw7BiYKLnad9YGdPxybK9mgPkM6,92831,0.00092831
212,1Du2jAQsBQnkkVZkN4oqC46tS78k7WMkVq,91362,0.00091362
213,1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA,86724,0.00086724
214,18E3AWaadnUPQ1aMpfEoyTXN49NYAZzbpD,82504,0.00082504
215,17nmFFPSANbPGgdtoEEuc6xbHoaP1n6ZBb,82504,0.00082504
216,14nzbWNMPjmvwy96uuFVXtj6VgChJtHvU9,81957,0.00081957
217,13QxkdrhfeQ6aCF4TBWg8knQGBmiwL2rpV,81957,0.00081957
218,1315LzDFcBLDBKgVAr4ZhCkcT5GXivpiuj,81357,0.00081357
219,bc1q5pucatprjrqltdp58f92mhqkfuvwpa43vhsjwpxlryude0plzyhqjkqazp,76882,0.00076882
220,1AXmu2pGHuS67v1BrmRo1MAapFbbJo9QUw,76600,0.000766
