rank,address,balance_satoshi,balance_btc
379,33De9e9Qa8gGDyoXwR2HvBxh9o4fxFJdPo,600,6e-06
380,36mrAeUbPBRv3FDCNeAnfnXbPDoHZdYoke,600,6e-06
381,3Me1aeyVdhq3NsygqAfvdy4bJMeEbHLVnJ,600,6e-06
382,38pn8HzsaZpPzxG5e9Ej7tw1NSoKxpWMKd,600,6e-06
383,32ou22p2hppfVrCEBcVn2gX3M8fyC12WzU,600,6e-06
384,3LszrP4odB5g1RJUewAoPvnDQUBWUC5c1d,600,6e-06
385,3K551mznkL3DudLbCzJPR1cv8F15GgvSkv,600,6e-06
386,14RKFqH45xYPMpW4KQ28RB6XtrZ8XpEM5i,555,5.55e-06
387,15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt,555,5.55e-06
388,1Cus9pZdkckCz23bDAsKMY6aLSQ7CmuHyw,552,5.52e-06
389,14YN9Zsx4H8DXUoK2XfRvjuanfjK1RrkHz,547,5.47e-06
390,15kN4RRGAWapscJjSg1VEKbrWtNf192pwk,547,5.47e-06
391,182p5CrqfDxvonznRyi5AUBwsCkDX8eYMe,547,5.47e-06
392,12o3umcKXzgSU1MU8qvhdTWz7Z3Ty6jSCe,547,5.47e-06
393,bc1q8qg2eazryu9as20k3hveuvz43thp200g7nw7qy,546,5.46e-06
394,bc1qmjpguunz9lc7h6zf533wtjc70ync94ptnrjqmk,546,5.46e-06
395,bc1qyr9dsfyst3epqycghpxshfmgy8qfzadfhp8suk,546,5.46e-06
396,1PaKY6vUZGQqWCrj983n6S7Bx6mkhwu5iP,100,1e-06
397,1FngtAcZsLfK89MNe7TqzyqVtSype8TiVD,13,1.3e-07
398,19Gt9VKmmyMpMHEv6dkf8ddwmwddoSoJ8w,10,1e-07
399,1EpekCfA7UrS5DFcfXvGjGs4pKrW6WtWQz,1,1e-08
