index,label_or_address,address_candidate,balance_btc_as_provided,inputs,outputs,source
481,1EBxXhWiAq8g6iNvQtyCu5nrfCDt86bzTa,1EBxXhWiAq8g6iNvQtyCu5nrfCDt86bzTa,435.46,27,0,pasted_content.txt
482,1G6LDigKRxmNhnAQPonJRSR41fcPjGdmQZ,1G6LDigKRxmNhnAQPonJRSR41fcPjGdmQZ,435.30,27,0,pasted_content.txt
483,15WUGm6CWjszy7DRKh5qcxKnpXDcnLyZt7,15WUGm6CWjszy7DRKh5qcxKnpXDcnLyZt7,433.25,260,0,pasted_content.txt
484,19ueTU4yGwwrjYEEc3iGmgGkYZKxVCHtUv,19ueTU4yGwwrjYEEc3iGmgGkYZKxVCHtUv,431.30,26,0,pasted_content.txt
485,16Saytx1YPV3cbgNQipuLtgy6YhwojDf31,16Saytx1YPV3cbgNQipuLtgy6YhwojDf31,430.32,29,0,pasted_content.txt
486,1DMtgLUVGbrns2B3yF5m62xQp4nz87nKyf,1DMtgLUVGbrns2B3yF5m62xQp4nz87nKyf,430.00,21,0,pasted_content.txt
487,18GpNNt97pccae8nNjU71ArhFRwxLNtY3c,18GpNNt97pccae8nNjU71ArhFRwxLNtY3c,424.25,22,0,pasted_content.txt
488,1EBH8XsoeZFBqz7mFdHpzhgKFF8cCQr8PL,1EBH8XsoeZFBqz7mFdHpzhgKFF8cCQr8PL,423.84,23,0,pasted_content.txt
489,1GAqjUvHkpKmjEvUpE7qz97tmn7gwZXAd5,1GAqjUvHkpKmjEvUpE7qz97tmn7gwZXAd5,423.70,23,0,pasted_content.txt
491,1CoYHPiwmPTrpPRehPgaQyZzPFvPkPM6Jo,1CoYHPiwmPTrpPRehPgaQyZzPFvPkPM6Jo,420.00,28,1,pasted_content.txt
492,1EJYC1e3EPVQdi41uYgcK9j9G8HjPxcDFv,1EJYC1e3EPVQdi41uYgcK9j9G8HjPxcDFv,420.00,23,0,pasted_content.txt
493,1EWNxGwjJqG9ntk6F2mzi8Bf78JESYyDnr,1EWNxGwjJqG9ntk6F2mzi8Bf78JESYyDnr,418.70,26,0,pasted_content.txt
494,1LvRpQ9bkADXqfjL7Uc7VfoydFVAE39erF,1LvRpQ9bkADXqfjL7Uc7VfoydFVAE39erF,417.40,24,0,pasted_content.txt
495,1HZmZjVzjFigRi2NtvWftNu12uMfMLey3b,1HZmZjVzjFigRi2NtvWftNu12uMfMLey3b,414.01,25,0,pasted_content.txt
496,1PvExXTCN3GrrvMnYkQrDeKVVazyakQrJu,1PvExXTCN3GrrvMnYkQrDeKVVazyakQrJu,412.50,24,0,pasted_content.txt
497,13Coop8xFbYj9JR9WyF5EqzGa9GiZmxs7C,13Coop8xFbYj9JR9WyF5EqzGa9GiZmxs7C,411.45,25,0,pasted_content.txt
498,12ZJwjvH3qMptXy8Myf5S7B9UL4aNSn2kn,12ZJwjvH3qMptXy8Myf5S7B9UL4aNSn2kn,411.00,24,0,pasted_content.txt
499,1f3ngXYTLVWwtDC6uLBGqsZazXwgoom2j,1f3ngXYTLVWwtDC6uLBGqsZazXwgoom2j,407.34,45,0,pasted_content.txt
500,1GbQE34Ejh1XjWHkmXq6pftThmnTXJX9Zf,1GbQE34Ejh1XjWHkmXq6pftThmnTXJX9Zf,406.50,29,3,pasted_content.txt
